question,choice_a,choice_b,choice_c,choice_d,correct_answer,explanation,hint,topic,room,tags,difficulty
The concept of a geocentric Universe was first proposed during the time of the ancient Greeks. This model ____.,was abandoned during the time of the Roman Empire and would never be widely held again,"was held to be true by thinkers throughout the Middle Ages, up until the Renaissance",was rediscovered by the Polish astronomer Copernicus and has been the accepted model of the Universe ever since,has been proven by NASA space photos,"was held to be true by thinkers throughout the Middle Ages, up until the Renaissance","The keyed answer is: was held to be true by thinkers throughout the Middle Ages, up until the Renaissance.","Think heliocentric model, Big Bang evidence, expansion, or the age of the universe.",Chapter 1 - The Earth in Context,Cosmos and Big Bang,"chapter 1, earth in context, cosmos, big bang, universe",standard
"In the heliocentric model of the Universe, ____.",Earth orbits around the Sun,the Sun orbits around Earth,Earth is a stationary planet,"Mercury and Venus orbit around the Sun, but all other planets orbit about Earth",Earth orbits around the Sun,The keyed answer is: Earth orbits around the Sun.,"Think heliocentric model, Big Bang evidence, expansion, or the age of the universe.",Chapter 1 - The Earth in Context,Cosmos and Big Bang,"chapter 1, earth in context, cosmos, big bang, universe",standard
"In our current understanding of the Big Bang, ____.",Earth is much older than the rest of the Universe,the Universe is considerably older than Earth,Earth and the Universe formed at about the same time,there is no way of knowing how old the Universe might be,the Universe is considerably older than Earth,The keyed answer is: the Universe is considerably older than Earth.,"Think heliocentric model, Big Bang evidence, expansion, or the age of the universe.",Chapter 1 - The Earth in Context,Cosmos and Big Bang,"chapter 1, earth in context, cosmos, big bang, universe",standard
"As the Universe has evolved, ____.",hydrogen has been lost through fusion to form helium within stars,hydrogen concentration has increased through the fission of helium atoms,hydrogen concentration has increased through the fusion of helium atoms,the number of hydrogen atoms has likely remained Constant,hydrogen has been lost through fusion to form helium within stars,The keyed answer is: hydrogen has been lost through fusion to form helium within stars.,"Think heliocentric model, Big Bang evidence, expansion, or the age of the universe.",Chapter 1 - The Earth in Context,Cosmos and Big Bang,"chapter 1, earth in context, cosmos, big bang, universe",standard
"From choices below, the best estimate of the age of the Universe is ____ old.",5 million,5 billion,15 billion,100 billion,15 billion,The keyed answer is: 15 billion.,"Think heliocentric model, Big Bang evidence, expansion, or the age of the universe.",Chapter 1 - The Earth in Context,Cosmos and Big Bang,"chapter 1, earth in context, cosmos, big bang, universe",standard
The Big Bang theory states that ____.,all stars will end their lives explosively as supernovas,Earth formed through a series of violent collisions,meteors were responsible for the extinction of the dinosaurs,all matter in the Universe was once confined to a single point,all matter in the Universe was once confined to a single point,The keyed answer is: all matter in the Universe was once confined to a single point.,"Think heliocentric model, Big Bang evidence, expansion, or the age of the universe.",Chapter 1 - The Earth in Context,Cosmos and Big Bang,"chapter 1, earth in context, cosmos, big bang, universe",standard
Strong evidence that the Universe is expanding comes from the fact that the light emitted from distant galaxies appears to be ____.,red shifted,blue shifted,green shifted,none of the above,red shifted,The keyed answer is: red shifted.,"Think heliocentric model, Big Bang evidence, expansion, or the age of the universe.",Chapter 1 - The Earth in Context,Cosmos and Big Bang,"chapter 1, earth in context, cosmos, big bang, universe",standard
Red shifts and blue shifts noted in the radiation spectra of celestial objects are analogous to the ____effect observed in pitch as a train passes a stationary observer.,Schwarzchild,Heidegger,Doppler,Doppleganger,Doppler,The keyed answer is: Doppler.,"Think heliocentric model, Big Bang evidence, expansion, or the age of the universe.",Chapter 1 - The Earth in Context,Cosmos and Big Bang,"chapter 1, earth in context, cosmos, big bang, universe",standard
"Since the initiation of the Big Bang, the temperature of the Universe has ____.",increased,decreased,stayed about the same,,decreased,The keyed answer is: decreased.,"Think heliocentric model, Big Bang evidence, expansion, or the age of the universe.",Chapter 1 - The Earth in Context,Cosmos and Big Bang,"chapter 1, earth in context, cosmos, big bang, universe",standard
"The most abundant elements found in Earth's rocks (such as oxygen, silicon, and iron) were formed by ____.",fission reactions within stars,fusion reactions within stars,direct precipitation from sea water,,fusion reactions within stars,The keyed answer is: fusion reactions within stars.,"Think stellar fusion, heavy-element formation, or solar wind.",Chapter 1 - The Earth in Context,"Stars, Elements, and Solar System Birth","chapter 1, earth in context, stars, elements, solar system",standard
Atoms that are heavier than iron can be produced only by ____.,fission reactions within stars,fusion reactions within stars,explosion of supernovas,the Big Bang,explosion of supernovas,The keyed answer is: explosion of supernovas.,"Think stellar fusion, heavy-element formation, or solar wind.",Chapter 1 - The Earth in Context,"Stars, Elements, and Solar System Birth","chapter 1, earth in context, stars, elements, solar system",standard
By far the most common elements in the Universe and in our solar system are ____.,nitrogen and oxygen,iron and manganese,hydrogen and helium,hydrogen and oxygen,hydrogen and helium,The keyed answer is: hydrogen and helium.,"Think stellar fusion, heavy-element formation, or solar wind.",Chapter 1 - The Earth in Context,"Stars, Elements, and Solar System Birth","chapter 1, earth in context, stars, elements, solar system",standard
Which of the following bodies is the smallest?,planets,stars,protoplanets,planetesimals,planetesimals,The keyed answer is: planetesimals.,"Think planet types, Kepler, orbital shape, or the Moon.",Chapter 1 - The Earth in Context,Planets and Moon,"chapter 1, earth in context, planets, moon, orbits",standard
"The larger a planet or moon is, the more likely it is to ____.",lack an atmosphere,resemble a cube,have a spherical shape,have liquid oceans at the surface,have a spherical shape,The keyed answer is: have a spherical shape.,"Think planet types, Kepler, orbital shape, or the Moon.",Chapter 1 - The Earth in Context,Planets and Moon,"chapter 1, earth in context, planets, moon, orbits",standard
"Aside from Earth, the terrestrial planets are ____.","Mars, Mercury, and Venus","Mars, Venus, and Jupiter","Jupiter, Saturn, Uranus, and Neptune",Mars and Saturn,"Mars, Mercury, and Venus","The keyed answer is: Mars, Mercury, and Venus.","Think planet types, Kepler, orbital shape, or the Moon.",Chapter 1 - The Earth in Context,Planets and Moon,"chapter 1, earth in context, planets, moon, orbits",standard
